"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","GeneName","significance","negLog10FDR"
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"F2RL2","coagulation factor II thrombin receptor like 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"CALHM4","calcium homeostasis modulator family member 4","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"RIMS1","regulating synaptic membrane exocytosis 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"G6PC1","glucose-6-phosphatase catalytic subunit 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"WDR11-DT","WDR11 divergent transcript","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC00469","long intergenic non-protein coding RNA 469","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"YIPF7","Yip1 domain family member 7","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"EFCAB9","EF-hand calcium binding domain 9","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC02860","long intergenic non-protein coding RNA 2860","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"NLRP2B","NLR family pyrin domain containing 2B","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"GRIA3","glutamate ionotropic receptor AMPA type subunit 3","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC00524","long intergenic non-protein coding RNA 524","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"PRR30","proline rich 30","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"STAC2","SH3 and cysteine rich domain 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"PDX1","pancreatic and duodenal homeobox 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"IVL","involucrin","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"KCNA3","potassium voltage-gated channel subfamily A member 3","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"TMEM82","transmembrane protein 82","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SFTA2","surfactant associated 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LRRC8C-DT","LRRC8C divergent transcript","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"MAGEA8","MAGE family member A8","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ASIP","agouti signaling protein","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"GRM5P1","GRM5 pseudogene 1","Down",4.14110302296313
